School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
Bindjiroo Yaluk Community School,Richmond,Inclusive Schools Fund | Upgrade and Modernisation,School upgrades,145.0020594,-37.8167496
,,Inclusive Schools Fund – Round 8,School upgrades,143.3906074,-36.9847807
Birmingham Primary School,Mount Evelyn,Inclusive Schools Fund - Round 6 | Inclusive Schools Fund - Round 4,School upgrades,145.3685525,-37.77979699999999
Birnbial Family Centre,Manor Lakes,Building Blocks Capacity Grant – Integrated Children's Centre,Early childhood projects,144.5831332,-37.8664126
Birralee Primary School,Doncaster,Upgrade and Modernisation,School upgrades,145.113326,-37.793397
Birranga College,Clyde North,New School,New schools,145.3287992,-38.1108098
Birregurra & District Preschool,Birregurra,Building Blocks Improvement Grant,Early childhood projects,143.7820574,-38.3360718
Birregurra Primary School,Birregurra,Upgrade and Modernisation,School upgrades,143.7865933,-38.3404763
Bittern Primary School,Bittern,Upgrade and Modernisation,School upgrades,145.1717835,-38.3399844
Biyala Primary School,Armstrong Creek,New School,New schools,144.3388877,-38.2264796
Biyala Primary School Kindergarten (interim name),Armstrong Creek,Kindergarten on a School Site,Early childhood projects,144.3388877,-38.2264796
Black Hill Primary School,Ballarat,Capital Works Fund | Minor Capital Works Fund,School upgrades,143.8694882,-37.5494762
Black Rock Preschool,Black Rock,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.0163863,-37.972086
Black Rock Primary School,Black Rock,Minor Capital Works Fund | Inclusive Schools Fund - Round 6,School upgrades,145.0215374,-37.9698651
Blackburn High School,Blackburn,Upgrade and modernisation,School upgrades,145.1506413,-37.81062319999999
Blackburn Lake Primary School,Blackburn,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,145.1654828,-37.8270502
Blackburn Primary School,Blackburn,Minor Capital Works Fund | School Pride and Sports Fund,School upgrades,145.1572265,-37.8169517
Blessed Carlo Acutis Catholic Primary School,Clyde,Building Fund for Non-Government Schools – Catholic,Non-government grants,144.9885159,-37.6005525
Bloinks Community Hub,Armstrong Creek,Building Blocks Capacity Grant – Modular Kindergarten,Early childhood projects,144.3740483,-38.2372957
Blossom Park Kindergarten,Mill Park,Building Blocks Improvement Grant - Early Learning Facility Upgrade,Early childhood projects,145.0765294,-37.6709622
Bluebird Way Child and Community Centre,Roxburgh Park,Building Blocks Partnership,Early childhood projects,144.9278395,-37.6191629
Boisdale Consolidated School,Boisdale,Inclusive Schools Fund - Round 6 | Upgrade and Modernisation | Permanent Modular School Buildings Program - Round 4 | Permanent Modular School Buildings Program - Round 3,School upgrades,146.9790191,-37.8806228
Bolinda Primary School,Bolinda,"Minor Capital Works Fund | Upgrade and Modernisation, Planned Maintenance Program",School upgrades,144.7456233,-37.4341129
Bolwarra Primary School,Bolwarra,Minor Capital Works Fund,School upgrades,141.6143493,-38.2814826
Bona Vista Primary School,Bona Vista,Minor Capital Works Fund,School upgrades,145.9598999,-38.2107162
Bonbeach Preschool,Bonbeach,New Early Learning Facility,Early childhood projects,145.1260029,-38.0604328
Bonbeach Primary School,Bonbeach,Upgrade and Modernisation | School Pride and Sports Fund | Inclusive Schools Fund,School upgrades,145.1258139,-38.06659399999999
Bond Street Kindergarten,Newtown,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.3477098,-38.156147
Boneo Primary School,Boneo,Minor Capital Works Fund,School upgrades,144.8870502,-38.4121865
Bonshaw Early Learning Centre,Sebastopol,New Early Learning Facility,Early childhood projects,143.8237609,-37.6040687
Boolarra Primary School,Boolarra,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,146.2690397,-38.3830782
Boollam Boollam Child and Family Centre,Pakenham,Building Blocks Capacity Grant – Integrated Children's Centre,Early childhood projects,145.4614666,-38.056409
Boorai Centre Ocean Grove,Ocean Grove,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.5394787,-38.2595799
Bop Bop Karrong Kindergarten,Barwon Heads,Building Blocks Improvement Grant,Early childhood projects,144.4912101,-38.2740607
Borinya Wangaratta Community Partnership,Wangaratta,Non-Government Schools Capital Fund - 2020-21,Non-government grants,146.3112997,-36.3359962
Boronia Heights Primary School,Boronia,"Upgrade and Modernisation - Gym, Netball Courts, Performing Arts Facilities | Upgrade and Modernisation - School Oval | Inclusive Schools Fund - Round 7",School upgrades,145.2963694,-37.8451057
Boronia K-12 College,Boronia,Inclusive Schools Fund,School upgrades,145.2946546,-37.8584221
Boronia West Primary School,Boronia,Upgrade and Modernisation,School upgrades,145.2526432,-37.8613267
Boroondara City Council Kindergarten Infrastructure Planning,,Building Block Planning Grant – feasibility studies for future kindergarten projects | Building Blocks Planning Grant – expand or upgrade kindergartens | Building Blocks Planning Grant – future kindergarten building projects,Early childhood projects,145.0713904,-37.8119024
Boroondara Park Primary School,Balwyn North,Planning for an Upgrade and Modernisation,Planning projects,145.0875891,-37.7896138
Botanic Ridge Primary School,Botanic Ridge,New School,New schools,145.2884148,-38.149864
Botanic Ridge Primary School Kindergarten,Botanic Ridge,Kindergarten on a School Site,Early childhood projects,145.2884148,-38.149864
Bourchier Street Primary School Shepparton,Shepparton,Upgrade and Modernisation,School upgrades,145.4128159,-36.3663728
Box Hill High School,Box Hill,Minor Capital Works Fund | Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1374574,-37.8205681
Box Hill North Primary School,Box Hill North,Upgrade and Modernisation,School upgrades,145.1230845,-37.8003373
Brandon Park Children's Centre,Glen Waverley,Early Childhood Refurbishment and Minor Works,Early childhood projects,145.1654508,-37.903644
Brandon Park Kindergarten,Wheelers Hill,Building Blocks Inclusion Grant,Early childhood projects,145.164783,-37.9046862
Brandon Park Primary School,Wheelers Hill,Capital Works Fund | Upgrade and Modernisation,School upgrades,145.1727867,-37.9134158
Branxholme-Wallacedale Community School,Branxholme,Upgrade and Modernisation,School upgrades,141.7987374,-37.8564058
Brauer Secondary College,Warrnambool,Upgrade and Modernisation,School upgrades,142.4604317,-38.3579844
Brentwood Kindergarten,Pascoe Vale South,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.9313373,-37.7473884
Brentwood Park Primary School,Berwick,Upgrade and Modernisation | School Improvement Fund,School upgrades,145.3474439,-38.052378
Brentwood Secondary College,Glen Waverley,Upgrade and Modernisation,School upgrades,145.1670996,-37.8989726
Briagolong Kindergarten and Occasional Care,Briagolong,Building Blocks Improvement Grant - Upgrade,Early childhood projects,147.0724567,-37.8428516
Briagolong Primary School,Briagolong,Schools Upgrade Fund | Inclusive Schools Fund – Round 8,School upgrades,147.0674851,-37.8427873
Briar Hill Preschool,Greensborough,Building Blocks Improvement Grant,Early childhood projects,145.1259486,-37.7033096
Briar Hill Primary School,Briar Hill,Inclusive Schools Fund – Round 9,School upgrades,145.1161167,-37.7083441
Bridgewater Primary School,Bridgewater On Loddon,Minor Capital Works Fund,School upgrades,143.9459486,-36.6030415
Bridgewood Primary School,Officer,"New School, Shared Facilities Fund",New schools,145.4203603,-38.0722776
Bright P-12 College,Bright,Minor Capital Works Fund | Inclusive Schools Fund,School upgrades,146.9614466,-36.7328552
Brighton Beach Primary School,Brighton,Inclusive Schools Fund – Round 8 | Minor Capital Works Fund,School upgrades,144.9962116,-37.9220019
Brighton Secondary College,Brighton East,Inclusive Schools Fund - Round 9,School upgrades,145.0186747,-37.920089
Brimbank City Council Kindergarten Infrastructure Planning Project,Sunshine,Building Blocks Planning Grant,Early childhood projects,144.832184,-37.7830303
Brinbeal Secondary College,Tarneit,New School – additional stage | New School,New schools,144.6435979,-37.8538331
Broadford Primary School,Broadford,Upgrade and Modernisation,School upgrades,145.0464781,-37.20244479999999
Broadford Secondary College,Broadford,Planning for an Upgrade and Modernisation | Shared Facilities Fund | Upgrade and Modernisation,"Planning projects, School upgrades",145.0393919,-37.204768
Broadmeadows Preschool,Broadmeadows,Early Childhood Refurbishment and Minor Works | Building Blocks Improvement Grant - Upgrade,Early childhood projects,144.928653,-37.6796184
Broadmeadows Special Developmental School,Broadmeadows,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.9140095,-37.6819391
Broken Creek Primary School,Broken Creek,Minor Capital Works Fund,School upgrades,145.8894104,-36.4233082
Brookfield Children’s Centre,Brookfield,Building Blocks Inclusion Grant | Early Childhood Refurbishment and Minor Works,Early childhood projects,144.5640379,-37.6944466
Brookville Kindergarten,Toorak,Building Blocks Inclusion Grant | Early Learning Facilities Upgrade,Early childhood projects,145.0092568,-37.8459121
Brown Hill Kindergarten,Brown Hill,Building Blocks Improvement Grant,Early childhood projects,143.895042,-37.551797
Brunswick Creche and Day Nursery,Brunswick,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.966178,-37.772312
Brunswick East Primary School,Brunswick East,Minor Capital Works Fund,School upgrades,144.9794587,-37.7649467
Brunswick Kindergarten,Brunswick,Early Learning Facilities Upgrade,Early childhood projects,144.9653316,-37.7718673
Brunswick North Primary School,Brunswick West,Capital Works Fund | Minor Capital Works Fund | Upgrade and Modernisation | Inclusive Schools Fund | School Improvement Fund,School upgrades,144.9505763,-37.759786
Brunswick North West Primary School,Brunswick West,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.9435552,-37.7566733
Brunswick Secondary College,Brunswick,Upgrade and Modernisation,School upgrades,144.9552832,-37.7709868
Brunswick South West Primary School,Brunswick West,Minor Capital Works Fund | Upgrade and Modernisation,School upgrades,144.9434281,-37.7704718
Buchan Primary School,,School Pride and Sports Fund,School upgrades,148.18058,-37.4975996
Buckley Park College,Essendon,Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,144.8972506,-37.7470355
Bulleen Heights School,Bulleen,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation,School upgrades,145.0946985,-37.7631291
Buln Buln Primary School,Buln Buln,Inclusive Schools Fund,School upgrades,145.9385746,-38.1000557
Bunbunarik Heathcote Children's Hub,Heathcote,New Early Learning Facility,Early childhood projects,144.7087672,-36.9212073
Bundalaguah Primary School,Bundalaguah,Capital Works Fund | Inclusive Schools Fund – Round 8,School upgrades,147.0121237,-38.0229862
Bundarra Primary School,Portland,Inclusive Schools Fund - Round 6 | Inclusive Schools Fund - Round 4,School upgrades,141.5928734,-38.3625198
Bundarra Uniting Kindergarten,Portland,Modular Kindergarten,Early childhood projects,141.591962,-38.36257
Bundoora Primary School,Bundoora,Upgrade and Modernisation - Next Stage | Upgrade and Modernisation - Stage 1 | Upgrade and Modernisation - Stage 2,School upgrades,145.0638067,-37.70775070000001
Bundoora Secondary College,Bundoora,Upgrade and Modernisation | Inclusive Schools Fund - Round 6 | School Pride and Sports Fund,School upgrades,145.062279,-37.7070137
Buninyong Primary School,Buninyong,Inclusive Schools Fund – Round 8 | Minor Capital Works Fund - Round 2,School upgrades,143.8865847,-37.65424429999999
Bunyip Kindergarten,Bunyip,Building Blocks Improvement Grant,Early childhood projects,145.7197687,-38.0954333
Bunyip Primary School,Bunyip,Minor Capital Works Fund,School upgrades,145.7131958,-38.0991706
Burch Family Memorial Preschool,Wonga Park,Building Blocks Inclusion Grant - Buildings and Playgrounds,Early childhood projects,145.2714095,-37.7358108
Burch Memorial Preschool,Wonga Park,Building Blocks Improvement Grant,Early childhood projects,145.2681837,-37.7402408
Burnside Primary School,Burnside,New School,New schools,144.7529428,-37.7459649
Burwood East Primary School,Burwood East,Upgrade and Modernisation,School upgrades,145.1518807,-37.8597386
Burwood East Special Developmental School,Burwood East,Upgrade and Modernisation,School upgrades,145.1417999,-37.8570938
Burwood Heights Primary School,Burwood East,Inclusive Schools Fund – Round 9,School upgrades,145.1638061,-37.8472873
Butterfield House Kindergarten,Jan Juc,New Early Learning Facility,Early childhood projects,144.2917163,-38.3382102
Buxton Primary School,Buxton,Minor Capital Works Fund,School upgrades,145.7092113,-37.4217839
California Gully Primary School,California Gully,Upgrade and Modernisation | School Improvement Fund,School upgrades,144.2502718,-36.7330769
Camberwell High School,Canterbury,Upgrade and Modernisation,School upgrades,145.0727026,-37.83026950000001
Camberwell Primary School,Camberwell,Upgrade and Modernisation – main building and toilet block | Minor Capital Works Fund | Upgrade and Modernisation | Inclusive Schools Fund,School upgrades,145.0580202,-37.8329294
Camberwell South Primary School,Glen Iris,Inclusive Schools Fund - Round 6,School upgrades,145.0622797,-37.8477501
Cambridge Primary School,Hoppers Crossing,Minor Capital Works Fund,School upgrades,144.6764595,-37.8675492
Camelot Rise Primary School,Glen Waverley,Inclusive Schools Fund,School upgrades,145.1875675,-37.8654863
Camp Hill Primary School,Bendigo,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,144.2779818,-36.7553735
